instance_number,distance_clav_k1,entropy,sharpness_global,sharpness_local
115,14.142135623730953,0.0112516274675726,0.09905533314713386,0.12499082576112464
117,14.142135623730953,0.0110996607691049,0.10057466778408564,0.1260038055899377
119,14.7648230602334,0.0110974069684743,0.10150512859552523,0.1283466081979596
121,14.7648230602334,0.011199546046555,0.10302181035879703,0.12943021486000486
123,14.7648230602334,0.0112718567252159,0.10438314648582228,0.13143487598415118
125,14.7648230602334,0.0114098973572254,0.10527607594998578,0.13325668185991263
127,14.7648230602334,0.0112099507823586,0.1059558284627094,0.13379378004125456
129,14.7648230602334,0.0113810086622834,0.1061070901511039,0.134897978626975
131,14.866068747318506,0.0114690577611327,0.10673896118627148,0.13770357366924482
133,15.0,0.0113317454233765,0.1053604077810596,0.1335108531259321
135,15.264337522473747,0.0115761402994394,0.10463131936552511,0.12074253276138656
137,15.652475842498529,0.0110490731894969,0.10079747544753408,0.11934922306047856
139,16.15549442140351,0.010513974353671,0.09721375758062308,0.1057382639933928
141,16.55294535724685,0.0103596020489931,0.09573236524823131,0.10074978059746031
143,17.46424919657298,0.0103173553943634,0.09569056120472456,0.09965352137062335
145,20.591260281974,0.0099547617137432,0.09523737782438511,0.09436426765227465
147,17.69180601295413,0.0103992260992527,0.09512590514724022,0.08720699928293885
149,16.97056274847714,0.0110663548111915,0.09575173582109016,0.09633898569152818
151,16.278820596099706,0.0120535539463162,0.09520306610921572,0.09601684768444076
153,15.556349186104043,0.0122421737760305,0.09653403783045744,0.09819837906606317
155,14.866068747318506,0.0123631386086344,0.09722099032499902,0.09816930890557066
157,14.866068747318506,0.0124545190483331,0.09803338667875558,0.09714629698689578
159,14.866068747318506,0.0125739714130759,0.0990043874534867,0.10232384364329684
161,15.556349186104043,0.0124126933515071,0.10029013607588774,0.10585268375797816
163,15.556349186104043,0.0121416496112942,0.10102961608443152,0.10880967161607158
165,15.556349186104043,0.0121125224977731,0.10239888038085031,0.10993866925053888
167,15.524174696260024,0.0120117850601673,0.1033805833831443,0.11223999326027105
169,15.524174696260024,0.011790033429861,0.10525423491741748,0.11696725513850448
171,14.866068747318506,0.0112748928368091,0.10567080821718411,0.11994778373734698
173,15.620499351813308,0.0110852839425206,0.10595161855916072,0.11992836491953363
175,15.620499351813308,0.010753602720797,0.10513864452358085,0.12389232116599029
177,15.556349186104043,0.0107573913410305,0.10461024644669249,0.12752279545597922
179,14.866068747318506,0.0107077360153198,0.10266963740327738,0.1300968243096871
181,14.212670403551895,0.0106649370864033,0.10128645863449769,0.13081099863158968
183,13.892443989449804,0.0107104303315281,0.10127438562646722,0.1333363146602925
185,13.892443989449804,0.0109047386795282,0.09962866874982101,0.12904853977808142
187,13.892443989449804,0.0109931770712137,0.09887041745956932,0.12793946119960112
189,13.892443989449804,0.01109981816262,0.09731533433854668,0.11967452211002226
191,14.317821063276352,0.0113932527601718,0.09522420922827363,0.11620541122523105
193,14.7648230602334,0.0116240568459033,0.09428977610950792,0.1126946960607114
195,14.317821063276352,0.0120763154700398,0.09452778205402122,0.11566385363584154
197,13.892443989449804,0.0126524865627288,0.09555811729246966,0.11885273528568367
199,13.601470508735444,0.0127500854432582,0.09681944538410849,0.12503774853481536
201,14.866068747318506,0.0130817368626594,0.09849321382896413,0.1325462270573826
203,14.212670403551895,0.0129625964909791,0.09935957109681279,0.1340742147038352
205,13.41640786499874,0.0126163065433502,0.09903411762010256,0.13126662240532636
207,13.038404810405298,0.0125076361000537,0.09779974091059382,0.13122596465247996
209,13.0,0.01237931009382,0.0904457284650546,0.1151527748775033
211,12.206555615733702,0.0127435326576232,0.08753100847602659,0.10406406879362592
213,13.41640786499874,0.0127298571169376,0.08700619667425019,0.10160318194676643
215,13.45362404707371,0.0125726172700524,0.08705738779424077,0.10233937700417427
217,13.45362404707371,0.0122737744823098,0.08791904826483314,0.10432135734404864
219,13.41640786499874,0.0121014164760708,0.08860727812455801,0.10826931284203187
221,13.45362404707371,0.012608821503818,0.09029984849027818,0.11400030881320516
223,13.601470508735444,0.0134838726371526,0.09158132895979973,0.11987153789036857
225,13.601470508735444,0.0141315730288624,0.09391800659838595,0.12733910694633258
227,13.601470508735444,0.0141331395134329,0.09458431167226994,0.13037542113716394
229,13.41640786499874,0.0143512059003114,0.09437765916071907,0.13077310570498363
231,14.142135623730953,0.0140909710898995,0.09334992375550652,0.12403954769380499
233,14.866068747318506,0.0127495201304554,0.09223675137560867,0.11952173921531122
235,14.7648230602334,0.0116991344839334,0.09160829472853113,0.11771562366371166
237,14.317821063276352,0.0111662205308675,0.0893106293689525,0.11344473785352538
239,14.317821063276352,0.0109956506639719,0.0873378631525161,0.11400124385381198
241,13.892443989449804,0.0113826896995306,0.08516415951775295,0.1156246533456252
243,13.892443989449804,0.0113497022539377,0.08596544514326428,0.11727107393039352
245,14.212670403551895,0.0110151031985878,0.08645601254988797,0.11984766011899108
247,14.422205101855956,0.0118288230150938,0.08968485898586763,0.12390970966424648
249,14.7648230602334,0.0118409339338541,0.0919338269415923,0.12569805734130496
251,15.0,0.011827802285552,0.09418750845164389,0.1206990751832646
253,15.0,0.0124945733696222,0.09547961016175263,0.11983779711906667
255,14.866068747318506,0.0123768663033843,0.0961308067237098,0.1156002199589975
257,15.264337522473747,0.0124238124117255,0.09600898409478523,0.10393644212786232
259,15.264337522473747,0.0117382481694221,0.09545872241800896,0.10034829577320163
261,16.1245154965971,0.0117269018664956,0.09494853096839014,0.10318862374215051
263,16.278820596099706,0.0115068228915333,0.09580577640923808,0.10457634733477715
265,15.556349186104043,0.0112600745633244,0.09616446765328622,0.10515184908374337
267,15.556349186104043,0.0110071515664458,0.09777454285197798,0.10679006430320778
269,15.556349186104043,0.0112085184082388,0.09940550825531697,0.10770735564214738
271,15.620499351813308,0.0120407249778509,0.0999036239569549,0.10996857734912643
273,15.620499351813308,0.0122707867994904,0.10140165279273873,0.1118765439103542
275,15.620499351813308,0.0124410446733236,0.10269706557422704,0.11297677255418402
277,15.556349186104043,0.0124795520678162,0.10232731862655359,0.1164872571214367
279,15.0,0.0118757002055644,0.10412527730497281,0.12308587334885236
281,15.264337522473747,0.0122290598228573,0.10544986750237698,0.12624517921563877
283,14.866068747318506,0.0123794320970773,0.10650586636513835,0.12916219875225218
285,14.7648230602334,0.0122185107320547,0.10664927958973944,0.12890964505294286
287,14.212670403551895,0.0127432821318507,0.10748308712333643,0.13358754680919646
289,14.212670403551895,0.0120979454368352,0.10752074263336865,0.1351826395766638
291,14.142135623730953,0.0123279141262173,0.10746561096543433,0.13791385015671292
293,13.892443989449804,0.0120725957676768,0.10645750348202673,0.13787152465130625
295,13.892443989449804,0.0118832616135478,0.10622983755908563,0.13873544737282112
297,13.41640786499874,0.0118893552571535,0.10431155101326128,0.1375343854210192
299,13.41640786499874,0.0116913644596934,0.10221251736598763,0.13438187755688843
301,13.601470508735444,0.011546135880053,0.10077378381398162,0.13480497142600048
303,13.892443989449804,0.0115402545779943,0.10016230605365933,0.13522601460861464
305,13.892443989449804,0.0112913390621542,0.10016316062449385,0.14105449812937143
307,13.41640786499874,0.0115019083023071,0.099374225441655,0.14132200320143937
309,13.0,0.0116100795567035,0.09775849830172877,0.1389280680877286
311,13.0,0.0112807918339967,0.09703318183176851,0.13910468877112392
313,13.0,0.0113591477274894,0.09559391201164952,0.13592098840255878
315,13.0,0.0112027442082762,0.09514358852686368,0.13673805043963114
317,12.529964086141668,0.0108620813116431,0.09510820623215568,0.1381580252142351
319,13.41640786499874,0.0109819937497377,0.09453086931818985,0.13548514174483264
321,12.806248474865695,0.0112363221123814,0.0942859000958942,0.13400847174504024
323,13.41640786499874,0.0110839130356907,0.09422605188692268,0.1304417896838032
325,13.601470508735444,0.011369046755135,0.0943193701816146,0.13476101696539475
327,13.038404810405298,0.0117398910224437,0.09438257115788823,0.13856297879154894
329,13.41640786499874,0.0119414357468485,0.09325708177283926,0.14035140459295753
331,12.806248474865695,0.0123916277661919,0.0926246671393384,0.13799740089866122
333,12.529964086141668,0.0119600882753729,0.09007591025243226,0.1308290260309836
335,12.083045973594572,0.011512704193592,0.09014085388130823,0.12173372072342392
337,11.6619037896906,0.0108072841539978,0.09122647929071506,0.1276692687679709
339,11.6619037896906,0.0112438751384615,0.09268380874199186,0.13387699819114043
341,10.63014581273465,0.011057810857892,0.0931906493914962,0.14040642999027364
343,10.816653826391969,0.011390333995223,0.09351549652284846,0.14288360990383023
